public_transport_nearby,has_lifts,allows_pets,cctv,floor,antiquity_min_years,antiquity_max_years,rooms,bathrooms,garages,area,stratum,lat,lng,rent_price,admon_price,total_price
0,0,0,0,,10,20,1,1,1,40,4,4.72271,-74.02618,1200000,0,1200000
1,0,0,0,,10,20,3,2,1,200,4,4.645191,-74.076904,2700000,0,2700000
1,0,0,0,5,10,20,3,2,1,0,3,4.755331,-74.0431,926000,187000,1113000
1,1,1,1,1,10,20,2,2,1,74,6,4.6529565,-74.05533,1932000,534000,2466000
0,0,0,0,,0,5,3,2,1,73,6,6.241306,-75.56739,2200000,0,2200000
1,0,0,1,,10,20,1,2,0,0,6,4.700245,-74.05336,2300000,0,2300000
1,1,0,1,4,10,20,1,2,2,71,6,4.679243,-74.04138,2757000,543000,3300000
0,1,0,0,,20,,3,4,2,184,6,4.65763,-74.05191,4400000,0,4400000
1,0,1,0,,0,5,3,3,1,114,3,4.663084,-74.0477,2778000,522000,3300000
1,0,0,1,,10,20,2,1,1,80,4,4.6690807,-74.063156,1108000,296000,1404000
1,1,0,0,7,5,10,2,2,2,80,5,4.6711435,-74.05688,998000,852000,1850000
1,0,0,0,,0,5,1,1,0,42,2,4.666817,-74.062004,1100000,200000,1300000
1,1,1,1,6,10,20,1,1,1,45,6,4.655228,-74.05287,1600000,250000,1850000
1,0,0,0,3,10,20,1,1,0,30,3,6.245979,-75.56073,850000,0,850000
0,0,0,1,,10,20,3,4,3,0,6,4.675738,-74.04687,12920000,1080000,14000000
0,0,0,0,,20,,3,2,0,44,3,4.63275,-74.06984,650000,0,650000
0,0,0,0,,10,20,2,2,1,73,5,4.71429,-74.03419,700000,400000,1100000
0,0,0,0,4,5,10,1,2,1,49,0,4.7163963,-74.08947,1500000,0,1500000
0,1,0,0,,0,5,2,2,1,70,6,6.204128,-75.57544,1950000,0,1950000
0,0,0,0,,20,,1,1,1,33,4,4.64053,-74.06016,1000000,350000,1350000
1,1,0,0,2,0,5,2,2,1,70,4,4.651093,-74.080574,2400000,0,2400000
1,0,0,0,,10,20,1,1,1,0,4,4.727049,-74.03216,1011111,0,1011111
1,1,1,1,0,0,5,4,5,2,360,6,,,9000000,0,9000000
0,0,0,0,,0,5,2,2,0,57,2,4.68828,-74.07811,850000,0,850000
0,0,0,0,,,,3,3,1,117.59,5,6.23535,-75.60182,2200000,0,2200000
0,1,0,0,,10,20,3,4,4,0,6,4.673337,-74.045204,12280000,1860000,14140000
0,0,0,0,7,10,20,3,3,2,125,6,4.668048,-74.0455,4141000,819000,4960000
1,1,1,1,3,10,20,3,3,2,112,6,4.6906576,-74.05648,3900000,0,3900000
1,1,1,1,4,5,10,3,3,2,120,6,4.6930046,-74.05229,4700000,0,4700000
0,0,0,0,0,10,20,2,1,0,39,3,4.7531447,-74.09987,900000,0,900000
1,0,1,0,,0,5,3,2,1,63,3,4.5927587,-74.07615,1749700,250300,2000000
1,0,0,0,1,10,20,3,3,1,0,6,4.6882796,-74.055855,2600000,0,2600000
1,1,0,1,17,20,,3,2,0,67,5,6.2476377,-75.56582,1600000,0,1600000
1,1,0,0,1,10,20,1,2,1,62,5,4.6871104,-74.04606,2988889,11111,3000000
0,1,0,0,0,5,10,3,3,2,117,6,,,7990000,10000,8000000
0,0,0,0,,10,20,3,2,1,60,4,6.21934,-75.61175,1250000,0,1250000
0,0,0,0,,5,10,2,1,0,50,3,6.22598,-75.60529,1000000,0,1000000
1,0,0,1,10,5,10,1,2,1,53,4,4.6398826,-74.06118,1800000,300000,2100000
0,1,0,0,,5,10,1,2,2,71,6,4.67259,-74.05388,2348000,652000,3000000
1,1,0,0,3,0,5,3,2,0,57,4,6.271088,-75.60179,1200000,0,1200000
0,0,0,0,,0,5,2,1,0,40,3,6.27598,-75.59974,770000,0,770000
1,1,0,0,2,20,,3,3,2,160.41,5,4.6990056,-74.04874,1872000,1128000,3000000
1,1,0,0,3,10,20,3,2,2,0,5,4.664376,-74.05327,3000000,500000,3500000
0,0,0,0,,0,5,2,2,1,55,3,4.6259255,-74.12906,950000,0,950000
0,1,0,0,,10,20,2,2,1,65,5,6.20943,-75.57631,1900000,0,1900000
1,1,1,1,6,10,20,3,5,2,220,6,4.6998715,-74.02598,5200000,1300000,6500000
0,1,0,0,,5,10,3,2,1,86,5,4.7313,-74.03112,1650000,225000,1875000
1,0,0,1,,5,10,2,1,0,0,3,4.754114,-74.07637,1000000,0,1000000
0,0,0,0,1,10,20,3,2,1,63,4,6.2773304,-75.58022,1260000,190000,1450000
0,0,0,0,1,10,20,3,2,0,60,3,4.7220683,-74.13185,675800,162100,837900
0,0,0,0,,0,5,3,3,1,120,4,4.6491866,-74.056465,1086000,457000,1543000
0,0,0,0,,20,,5,5,0,450,4,4.68839,-74.04,12000000,0,12000000
0,1,0,1,1,10,20,3,2,0,110,0,6.239043,-75.61035,2500000,0,2500000
1,1,0,0,6,0,5,1,1,0,25,4,4.6453414,-74.068825,920000,180000,1100000
1,0,0,1,,10,20,2,2,0,0,5,4.6633973,-74.05229,5500000,0,5500000
1,1,0,0,,5,10,1,1,1,0,5,4.6953397,-74.064,969000,331000,1300000
1,1,1,1,6,0,5,2,3,3,134,6,4.6632833,-74.04819,6420000,1080000,7500000
1,1,1,0,2,0,5,3,2,1,90,5,6.2389183,-75.59249,2600000,0,2600000
0,1,0,0,6,20,,1,2,0,50,5,,,2600000,0,2600000
0,1,0,1,7,0,5,4,5,3,250,6,4.7068243,-74.04084,8700000,1300000,10000000
1,1,0,1,7,0,5,1,2,1,0,4,4.6658325,-74.13818,1144700,175300,1320000
0,0,0,0,,5,10,3,2,1,55,4,6.20347,-75.60537,1150000,0,1150000
1,1,0,0,6,0,5,1,1,0,33,4,4.644462,-74.060776,1350000,0,1350000
0,0,0,1,1,0,5,1,0,0,45,3,6.255846,-75.61003,-169999,999999,830000
1,0,0,0,,10,20,4,3,3,0,5,4.700911,-74.05687,5000000,0,5000000
0,0,0,0,1,10,20,3,3,0,150,6,6.186275,-75.56782,3200000,0,3200000
1,1,0,0,13,0,5,2,2,1,55,4,6.2011886,-75.6022,1200000,0,1200000
1,0,0,1,2,0,5,3,1,0,52,3,4.583227,-74.08876,950000,0,950000
1,1,0,0,4,20,,3,4,2,240,6,4.67075,-74.04824,11500000,1500000,13000000
0,0,0,0,1,20,,3,2,2,95,5,4.69923,-74.06439,1801000,499000,2300000
0,0,0,1,1,0,5,2,1,0,85,3,6.2268815,-75.59443,100001,999999,1100000
1,1,1,1,5,0,5,1,2,1,63,6,4.687075,-74.04988,1900000,300000,2200000
1,1,0,0,5,10,20,3,4,2,165,6,4.6996937,-74.0403,4500000,0,4500000
1,0,0,1,5,5,10,3,2,0,65,3,4.7435994,-74.03904,943849,267450,1211299
0,0,0,0,,5,10,3,2,1,80,4,6.21535,-75.59852,1500000,0,1500000
0,1,0,1,1,0,5,4,2,1,95,4,6.257086,-75.58056,1200001,999999,2200000
0,0,0,0,,0,5,3,3,1,96,4,4.738708,-74.06014,2300000,0,2300000
0,1,0,1,3,0,5,3,2,1,66,3,4.751565,-74.0955,1400000,0,1400000
0,0,0,0,,,,2,2,0,68,3,4.61295,-74.15907,900000,0,900000
1,1,0,1,3,0,5,2,3,2,126,6,4.704837,-74.04221,4700000,0,4700000
0,0,0,0,,20,,2,2,1,60,3,4.69025,-74.07475,620000,440000,1060000
0,1,0,0,,0,5,3,2,1,65,3,6.28451,-75.6092,1100000,0,1100000
1,1,0,0,24,5,10,3,4,2,175,6,6.188617,-75.56492,5100000,0,5100000
1,1,0,0,8,0,5,2,2,2,105,5,4.6930213,-74.05788,2500000,650000,3150000
0,1,0,0,,20,,2,2,1,52,4,6.26872,-75.60533,1250000,0,1250000
0,1,0,1,1,0,5,1,2,1,68,5,6.2271886,-75.56451,2520001,999999,3520000
1,1,0,0,,5,10,2,1,0,43,3,4.6789894,-74.09764,730800,134600,865400
0,0,0,0,,,,3,2,1,54,3,4.75295,-74.08206,1050000,0,1050000
0,0,0,0,,0,5,3,5,1,120,5,6.24889,-75.59279,2400000,0,2400000
1,1,0,0,5,20,,2,2,2,90,4,4.692756,-74.068184,2250000,0,2250000
0,1,0,0,4,0,5,3,4,2,155,5,4.7304544,-74.06541,3180000,560000,3740000
0,0,0,0,,20,,5,5,4,338,6,4.699522,-74.03929,7000000,250000,7250000
0,1,0,0,,0,5,4,3,1,100,5,6.242404,-75.598236,3200000,0,3200000
0,0,0,0,,,,1,1,1,31.7,3,4.61011,-74.10782,733000,82000,815000
1,0,0,0,,10,20,3,1,1,0,4,4.762579,-74.0468,1202000,278000,1480000
1,1,0,0,1,20,,3,2,2,130,5,4.6970167,-74.03625,1800000,1000000,2800000
0,1,0,1,1,0,5,2,2,1,81,6,6.195582,-75.575554,1200001,999999,2200000
0,1,0,0,5,20,,2,2,1,55,4,4.728204,-74.049164,1440000,10000,1450000
0,0,0,0,,10,20,2,2,2,0,5,4.687825,-74.04438,1153240,446760,1600000
1,0,0,0,2,20,,4,2,1,130,3,4.603519,-74.12158,1500000,0,1500000
0,1,0,0,,0,5,3,2,1,67,3,4.64097,-74.1455,1600000,0,1600000
0,0,0,0,,5,10,2,3,1,80,5,4.70072,-74.03107,2800000,0,2800000
1,1,0,0,10,5,10,2,2,1,73,4,4.745859,-74.03207,1638889,11111,1650000
1,1,0,0,6,0,5,2,4,3,173,6,4.669264,-74.04623,8900000,1100000,10000000
0,1,0,1,1,20,,1,1,0,35,4,4.630729,-74.06499,1060000,120000,1180000
0,1,1,1,4,0,5,1,1,1,50,5,4.7132535,-74.03361,1200000,300000,1500000
1,0,0,0,,10,20,3,2,1,0,3,4.759416,-74.026825,1436000,0,1436000
1,1,0,0,10,10,20,3,3,1,86,4,4.669118,-74.11661,2500000,0,2500000
1,0,1,0,,0,5,3,2,0,55,3,4.5852184,-74.15406,610000,100000,710000
0,1,0,0,,20,,3,2,2,100,4,4.73392,-74.04229,1100000,400000,1500000
0,0,0,0,,20,,3,4,1,205,4,4.6446695,-74.05722,7000000,0,7000000
0,0,0,0,0,10,20,3,2,0,64,3,4.7362394,-74.08639,1100000,0,1100000
1,0,0,0,2,5,10,2,2,0,80,3,4.696477,-74.02846,1950000,0,1950000
1,0,0,0,2,0,5,5,3,1,112,4,6.2509403,-75.560165,1500000,0,1500000
1,1,1,1,5,0,5,1,2,2,56,6,4.692899,-74.047325,1500000,500000,2000000
1,1,0,0,7,20,,3,3,2,150,5,4.673541,-74.04769,4300000,0,4300000
0,1,0,1,10,0,5,1,2,1,72,3,4.6182694,-74.065796,1800000,0,1800000
0,0,0,0,1,5,10,,,,27,,6.2642536,-75.56598,4695865,0,4695865
1,1,0,0,12,10,20,3,2,2,90,5,4.710627,-74.06098,2300000,0,2300000
1,0,0,0,,10,20,3,2,0,160,3,4.57618,-74.11597,1150000,0,1150000
0,1,1,1,5,0,5,2,3,2,78,6,4.6583815,-74.04915,4700000,0,4700000
0,0,0,0,,5,10,2,3,1,77.56,5,4.707465,-74.03084,1558000,342000,1900000
0,0,0,0,,5,10,2,2,0,60,3,6.22598,-75.60529,1250000,0,1250000
1,0,0,0,4,0,5,1,2,2,59,5,4.672065,-74.05996,1800000,600000,2400000
1,1,0,1,6,0,5,1,1,0,40,0,4.7111554,-74.07199,884000,158000,1042000
1,1,0,1,4,5,10,1,2,1,45,6,4.6787057,-74.05456,1581200,268800,1850000
1,1,0,1,,0,5,1,1,1,45,6,4.65381,-74.05093,1840732,359268,2200000
0,1,0,0,,0,5,1,2,1,55,5,4.7176,-74.04585,1046000,302000,1348000
0,0,0,0,,5,10,1,1,0,36,4,6.23203,-75.60631,1000000,0,1000000
1,0,1,1,3,5,10,2,2,1,80,5,4.687537,-74.03844,2100000,450000,2550000
0,0,0,0,1,5,10,1,1,0,43,3,6.2594047,-75.5597,700000,0,700000
0,1,0,1,4,0,5,3,5,4,255,6,4.6562552,-74.05165,14400000,100000,14500000
1,0,0,0,,20,,3,2,0,180,3,4.742893,-74.04418,4000000,0,4000000
1,1,0,0,4,20,,4,4,2,188,6,4.667841,-74.04673,3329000,1171000,4500000
0,1,0,1,4,5,10,4,5,4,229,0,4.7996435,-74.07216,4510000,990000,5500000
